Id,Label,main_country,Type
1w2fVGZN37TieWhlqS8UwB,Tobias Rahim,Denmark,Artist
3RYYha3CC7js2PHbcBHewt,ICEKIID,Denmark,Artist
4ysmSq2N7badobfVT6YZ82,Gobs,Denmark,Artist
3UaEtP4pJGDhyEzy47AMzl,Malte Ebert,Denmark,Artist
1GLzVjVa7bLnAcD1At98j3,Omar,Denmark,Artist
028xhPwqtWva4J0MkFHY2x,Mads Langer,Denmark,Artist
0thQkzSyTo4l3zbpibZznQ,Hjalmer,Denmark,Artist
0yqCOSZ1i0c49UUbE8AzbQ,Rasmus Seebach,Denmark,Artist
1YwMnnHvnG64fJxYSVwmN6,Branco,Denmark,Artist
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,Denmark,Artist
