id,label,type,main_country
1elUiq4X7pxej6FRlrEzjM,Jorge & Mateus,Artist,Brazil
0JRPF8WIKUtSO2IUYfrcuh,Kaique e Felipe,Artist,Brazil
5kVgcCdPbeUwxBqWxi2Ktl,Luan Pereira,Artist,Brazil
6sW5k31iA8sTy0i2goUKF9,Oldilla,Artist,Brazil
6VOn8xBJH73S7DN8VBAoaN,Deejhay RB,Artist,Brazil
2Z0lRIqr997lIUiPtrpKCr,Matheus & Kauan,Artist,Brazil
1LIuN7ov1IBQDdLsU83ojl,Hugo & Guilherme,Artist,Brazil
41QLxRXlc2NwfJZkHGHKid,Israel & Rodolffo,Artist,Brazil
1mV9h1AwhRXSjBFcYpajgY,Mc Lele JP,Artist,Brazil
6VyttZwyEMGBl90oGdKCB8,MC Leozinho ZS,Artist,Brazil
6wduHvHCH5QZtWs6ULilDM,Henry Freitas,Artist,Brazil
0bg3fNpRQgZTCAg3Bseyly,Mc Th,Artist,Brazil
5ZfBThYiIIhL7jHMG8gDB2,Ferrugem,Artist,Brazil
1fUSLFr4WUBx7joEcGwpvG,Sorriso Maroto,Artist,Brazil
37mqXU98U5GmH5ZDtlHM1c,Matheus Fernandes,Artist,Brazil
6qrqAYlS6lUj2BVXax7SZW,Mc Jacaré,Artist,Brazil
0vLuOi2k62sHujIfplInlK,Hungria,Artist,Brazil
7gZu6kPnY9enEi5FvgTO4F,Felipe e Rodrigo,Artist,Brazil
7gHzR22tDNSWGS4HkvvPgw,THE BOX,Artist,Brazil
1SZXYhJz4sqEss888VmWLP,Mc Brinquedo,Artist,Brazil
1JJq541frMPfUIQiUoVrnp,Mc Laranjinha,Artist,Brazil
1X6ORK7IekgmyjV6IFPszP,Gustavo Mioto,Artist,Brazil
0i1s9WcIu0PrUvHzALgofo,Seu Jorge,Artist,Brazil
6mKwmTMzDrye9elc8JWiw3,Mc Leozin,Artist,Brazil
3Nipsl6GVwwGyeAk0J29C6,MC G15,Artist,Brazil
1tKrZaph4cLsnEdqC5BNEQ,Clayton & Romário,Artist,Brazil
5nP8x4uEFjAAmDzwOEc9b8,Matuê,Artist,Brazil
2eK9gcJQ6uqVvJL63dnOM3,Simone Mendes,Artist,Brazil
5IREutgMnyQqRcc8r15gWk,CountryBeat,Artist,Brazil
6YzSM19LzpLH0nVKKU6Jsy,Mc Daniel,Artist,Brazil
3CIIaeZuFYrAD6PRVyuO4U,Felipe Amorim,Artist,Brazil
2Y3kRJYYun9lDcRMM7ulQg,MC Bruna Alves,Artist,Brazil
6m6e7D2TnV0aYMllFFwMxu,Guilherme & Benuto,Artist,Brazil
7rXMvXRnWHaSwnVvPeUUfw,Gloria Groove,Artist,Brazil
6TYimByryGphZCtwYopH0y,Lauana Prado,Artist,Brazil
5tfvAC3ptwTnVXeNJ8qkYe,DJ L30,Artist,Brazil
5O30nI9WzhHuxqFZqReBQu,MC Thaizinha,Artist,Brazil
1mvpEXClANunyiHFtAXCxt,MC Rick,Artist,Brazil
2xOLGU5UNLV3KQSFteF8ZW,Boladin 211,Artist,Brazil
54DpD2uxqh2jQtstvXxCag,Deliverymusic,Artist,Brazil
4MQAbRFF5xtTAIYG8jzfZm,Dj L Martins,Artist,Brazil
